分類,品項,價格
黑糖系列,黑糖珍珠鮮奶,65
黑糖系列,黑糖粉角鮮奶,65
黑糖系列,黑糖粉角鮮奶紅,65
黑糖系列,黑糖珍珠厚鮮奶,70
黑糖系列,厚黑糖珍珠鮮奶,75
鮮奶茶系列,紅茶鮮奶,60
鮮奶茶系列,青茶鮮奶,60
鮮奶茶系列,烏龍鮮奶,60
茶飲系列,紅茶,30
茶飲系列,青茶,30
茶飲系列,烏龍茶,30
芋頭系列,芋頭鮮奶,70
芋頭系列,芋頭鮮奶茶,70
果茶系列,檸檬青茶,50
果茶系列,百香綠,50
果茶系列,蜂蜜檸檬,50
蜂蜜系列,蜂蜜鮮奶,60
蜂蜜系列,蜂蜜紅茶,45
季節限定,草莓黑糖珍奶,75
季節限定,芒果綠茶,65
