分類,品項,中杯價,大杯價
原茶,熟成紅茶,30,35
原茶,翡翠綠茶,30,35
原茶,青韻烏龍,30,35
鮮奶茶,熟成紅茶鮮奶,50,60
鮮奶茶,翡翠綠茶鮮奶,50,60
鮮奶茶,青韻烏龍鮮奶,50,60
鮮奶茶,黑糖珍珠鮮奶,55,65
鮮奶茶,黑糖粉條鮮奶,55,65
奶蓋,奶蓋紅茶,55,65
奶蓋,奶蓋綠茶,55,65
奶蓋,奶蓋烏龍,55,65
鮮果,鮮橙綠茶,60,70
鮮果,柳橙青茶,60,70
鮮果,葡萄柚綠茶,60,70
多多,百香多多,50,60
多多,葡萄柚多多,55,65
多多,檸檬多多,55,65
冰沙,芒果冰沙,65,75
冰沙,葡萄柚冰沙,65,75
