分類,品項,價格
原葉鮮萃茶,茉莉綠茶,30
原葉鮮萃茶,阿薩姆紅茶,30
原葉鮮萃茶,高山青茶,35
鮮調果茶,百香搖果樂,50
鮮調果茶,荔枝玉露,55
鮮調果茶,芭樂多多,55
鮮調果茶,蘋果冰茶,50
奶茶/特調,絕代雙Q奶茶,55
奶茶/特調,海神奶茶,60
奶茶/特調,玩火奶茶,60
奶茶/特調,紫米奶茶（冬季限定）,65
奶茶/特調,纖美小紫蘇,50
奶茶/特調,超桔霸氣飲,55
鮮萃茶拿鐵,紅茶拿鐵,55
鮮萃茶拿鐵,綠茶拿鐵,55
鮮萃茶拿鐵,烏龍拿鐵,60
果然系列,柚香綠茶,50
果然系列,葡萄柚綠茶,50
果然系列,柳橙綠茶,50
夏季限定,仙人掌系列,60
夏季限定,芒果冰茶,60
冬季限定,紫米奶茶,65
冬季限定,薑母紅茶,55
咖啡系列（門市限定）,美式咖啡,45
咖啡系列（門市限定）,拿鐵咖啡,55
咖啡系列（門市限定）,卡布奇諾,55
