分類,品項,中杯價,大杯價
原味茶,四季春青茶,30,35
原味茶,錫蘭紅茶,30,35
原味茶,阿薩姆紅茶,30,35
原味茶,玄米煎茶,30,35
奶茶,紅茶拿鐵,45,55
奶茶,奶茶,35,45
奶茶,珍珠奶茶,45,55
奶茶,布丁奶茶,50,60
奶茶,仙草奶茶,50,60
多多,百香多多,45,55
多多,葡萄柚多多,50,60
多多,檸檬多多,50,60
鮮果,葡萄柚綠茶,45,55
鮮果,百香雙響炮,45,55
鮮果,檸檬養樂多綠,50,60
冬瓜,冬瓜檸檬,40,50
冬瓜,仙草冬瓜,45,55
特調,翡翠檸檬,45,55
特調,檸檬梅子,45,55
特調,百香綠,40,50
拿鐵,仙草拿鐵,50,60
拿鐵,珍珠紅茶拿鐵,50,60
拿鐵,抹茶拿鐵,55,65
可可,可可芭蕾,50,60
可可,珍珠可可,55,65
