分類,品項,中杯價,大杯價
果粒茶,芝芝芒果果粒,75,85
果粒茶,芝芝葡萄果粒,75,85
果粒茶,芒果綠茶,70,80
果粒茶,葡萄柚綠茶,65,75
芝芝,芝芝茉香綠茶,60,70
芝芝,芝芝紅茶,60,70
芝芝,芝芝烏龍,60,70
鮮奶茶,珍珠紅茶鮮奶,60,70
鮮奶茶,珍珠烏龍鮮奶,60,70
鮮奶茶,椰果紅茶鮮奶,60,70
奶茶,紅茶拿鐵,50,60
奶茶,烏龍奶茶,50,60
奶茶,綠茶奶茶,50,60
原茶,茉香綠茶,30,35
原茶,熟成紅茶,30,35
原茶,四季青茶,30,35
冰沙,芒果冰沙,75,85
冰沙,葡萄冰沙,75,85
特調,百香雙Q,55,65
特調,葡萄柚雙Q,55,65
特調,冬瓜檸檬,45,55
