分類,品項,中杯價,大杯價
茶飲,熟成紅茶,30,35
茶飲,特級綠茶,30,35
茶飲,高山青茶,30,35
茶飲,焙香烏龍,30,35
鮮奶茶,熟成紅茶鮮奶,55,65
鮮奶茶,特級綠茶鮮奶,55,65
鮮奶茶,高山青茶鮮奶,55,65
鮮奶茶,焙香烏龍鮮奶,55,65
鮮果系列,葡萄柚綠茶,55,65
鮮果系列,百香果綠茶,50,60
鮮果系列,檸檬梅子綠,50,60
鮮果系列,百香雙響炮,55,65
果昔/冰沙,芒果冰沙,70,85
果昔/冰沙,草莓果昔,70,85
果昔/冰沙,火龍果果昔,70,85
多多系列,柳橙多多,55,65
多多系列,葡萄柚多多,55,65
多多系列,百香多多,55,65
特調,翡翠檸檬,45,55
特調,8冰綠,45,55
特調,翡翠百香,50,60
季節限定,愛文芒果冰沙,75,90
季節限定,楊桃檸檬,55,65
