分類,品項,中杯價,大杯價
鮮奶茶,經典紅茶拿鐵,55,65
鮮奶茶,麥香紅茶拿鐵,55,65
鮮奶茶,四季春拿鐵,55,65
鮮奶茶,烏龍拿鐵,55,65
鮮奶茶,焙香決明大麥拿鐵,55,65
茶飲,麥香紅茶,30,35
茶飲,四季春青茶,30,35
茶飲,焙香決明大麥茶,30,35
茶飲,烏龍茶,30,35
鮮果,鮮檸紅茶,45,55
鮮果,鮮檸青茶,45,55
鮮果,鮮檸決明大麥,45,55
鮮果,柳橙綠茶,50,60
鮮果,百香果綠茶,45,55
蜂蜜,蜂蜜紅茶,40,50
蜂蜜,蜂蜜青茶,40,50
蜂蜜,蜂蜜檸檬青茶,50,60
奶蓋,奶蓋紅茶,55,65
奶蓋,奶蓋烏龍,55,65
奶蓋,奶蓋四季春,55,65
冰沙,芋頭牛奶冰沙,65,75
冰沙,大甲芋頭鮮奶冰沙,75,85
冰沙,奶霜芒果冰沙（夏季限定）,65,75
