分類,品項,中杯價,大杯價
茶類,茉莉綠茶,30,40
茶類,阿薩姆紅茶,30,40
茶類,烏龍茶,35,45
茶類,四季春,30,40
奶茶類,珍珠奶茶,40,50
奶茶類,布丁奶茶,45,55
奶茶類,冰淇淋奶茶,50,60
奶茶類,紅茶拿鐵,45,55
特調類,檸檬綠茶,35,45
特調類,百香果綠茶,40,50
特調類,蜂蜜青茶,40,50
特調類,葡萄柚綠茶,45,55
鮮奶系列,鮮奶茶,50,60
鮮奶系列,珍珠鮮奶,55,65
鮮奶系列,抹茶鮮奶,55,65
其他,仙草凍,30,40
其他,冬瓜茶,30,40
