分類,品項,中杯價,大杯價
熟成紅茶,熟成紅茶,30,35
熟成紅茶,麗春紅茶,30,35
熟成紅茶,熟成檸果,50,60
熟成紅茶,白玉熟成紅茶,45,55
春梅,熟成春梅,45,55
春梅,白玉春梅,50,60
醇奶茶,熟成紅茶拿鐵,50,60
醇奶茶,麗春紅茶拿鐵,50,60
醇奶茶,白玉紅茶拿鐵,55,65
冬瓜,冬瓜熟成紅茶,35,45
冬瓜,冬瓜檸檬,40,50
冬瓜,白玉冬瓜,45,55
桂花,桂花釀紅茶,45,55
桂花,桂花釀奶茶,55,65
桂花,白玉桂花釀,55,65
氣泡飲,熟成氣泡紅,45,55
氣泡飲,熟成氣泡檸檬,50,60
